Time,Date,Ambient Temperature Temp. (¡F):,Rellative Humicity (%),Light (Irradiance) (W/m2),Carbon Dioxide (ppm),Vapor Pressure Deficit (kPa)
,,Temp,RH,Light,CO2,VPD
5:00:37,11/29/2021,0,0,0,0,0
5:01:40,11/29/2021,92.1,41.2,141,0,3.02
5:02:40,11/29/2021,91.9,41,138,0,3.01
5:03:43,11/29/2021,92.2,41.2,152,0,3.03
5:04:43,11/29/2021,92.8,39.8,152,0,3.16
5:05:43,11/29/2021,92.4,39.7,152,0,3.13
5:06:43,11/29/2021,92.8,40,152,0,3.15
5:07:43,11/29/2021,92.6,39.7,152,0,3.15
5:08:43,11/29/2021,92.6,39.6,153,0,3.15
5:09:46,11/29/2021,92.8,39.3,154,0,3.19
5:10:46,11/29/2021,93.3,39,154,0,3.25
5:11:49,11/29/2021,93.7,38.8,154,0,3.31
5:12:49,11/29/2021,93.8,39,155,0,3.3
5:13:49,11/29/2021,94.1,38.6,154,0,3.36
5:14:52,11/29/2021,94.2,38.5,152,0,3.37
5:15:52,11/29/2021,94.3,37,144,0,3.47
5:16:55,11/29/2021,93.6,37.6,147,0,3.36
5:17:58,11/29/2021,93.6,38.5,156,0,3.31
5:18:58,11/29/2021,93.6,38.9,156,0,3.29
5:20:01,11/29/2021,93,40.5,157,0,3.14
5:21:01,11/29/2021,93.8,39.5,155,0,3.28
5:22:01,11/29/2021,93.4,38.8,154,0,3.27
5:23:01,11/29/2021,93.2,39.5,155,0,3.22
5:24:04,11/29/2021,92.5,40,156,0,3.12
5:25:07,11/29/2021,92,40.6,156,0,3.04
5:26:07,11/29/2021,92.2,40.4,158,0,3.07
5:27:10,11/29/2021,92.8,38.9,158,0,3.21
5:28:10,11/29/2021,93.4,38.6,155,0,3.29
5:29:13,11/29/2021,93.1,38.9,157,0,3.24
5:30:13,11/29/2021,93.5,38.3,158,0,3.31
5:31:16,11/29/2021,93.4,38.3,155,0,3.3
5:01:46,11/29/2021,74.8,54.8,0,0,1.33
5:02:46,11/29/2021,73.8,58.1,0,0,1.19
5:03:47,11/29/2021,74.2,59,0,0,1.18
5:04:49,11/29/2021,74.7,58.5,0,0,1.22
5:05:49,11/29/2021,75.1,57.6,0,0,1.26
5:06:52,11/29/2021,75.6,56.9,0,0,1.3
5:07:52,11/29/2021,76.4,56.3,0,0,1.36
5:08:52,11/29/2021,77.1,54.7,0,0,1.44
5:09:52,11/29/2021,76.1,55.6,0,0,1.36
23:39:35,11/30/2021,84.6,54.1,19,0,1.86
23:40:38,11/30/2021,84.6,54.3,23,0,1.85
23:41:41,11/30/2021,84.9,54.9,23,0,1.85
23:42:41,11/30/2021,85.5,54.4,19,0,1.9
23:43:41,11/30/2021,85.3,53.9,22,0,1.91
23:44:44,11/30/2021,85.6,53.2,14,0,1.96
23:45:47,11/30/2021,85.6,52.6,21,0,1.99
23:46:47,11/30/2021,85.8,52.7,19,0,1.99
23:47:47,11/30/2021,85.7,53.1,20,0,1.97
23:48:50,11/30/2021,85.6,53.3,21,0,1.96
23:49:50,11/30/2021,85.6,53.6,23,0,1.94
23:50:50,11/30/2021,86.1,52.7,23,0,2.01
23:51:50,11/30/2021,86.4,52,21,0,2.06
23:52:50,11/30/2021,86.1,51.6,23,0,2.06
23:53:50,11/30/2021,86.1,52,22,0,2.04
23:54:53,11/30/2021,86.3,51.6,22,0,2.07
