Time,Date,Ambient Temperature Temp. (¡F):,Rellative Humicity (%),Light (Irradiance) (W/m2),Carbon Dioxide (ppm),Vapor Pressure Deficit (kPa)
,,Temp,RH,Light,CO2,VPD
5:01:34,11/29/2021,95.1,38,250,484,3.5
5:02:37,11/29/2021,94.5,38.2,246,477,3.42
5:03:37,11/29/2021,94.2,38.9,238,481,3.35
5:04:40,11/29/2021,94.6,38.2,239,463,3.43
5:05:43,11/29/2021,94,38.1,240,451,3.37
5:06:43,11/29/2021,94.2,38.7,240,446,3.36
5:07:43,11/29/2021,93.7,38.6,240,442,3.32
5:08:43,11/29/2021,93.7,38.4,243,438,3.33
5:09:46,11/29/2021,93.8,38.3,244,439,3.34
5:10:46,11/29/2021,94.1,38.3,247,437,3.37
5:11:49,11/29/2021,94.2,38.2,248,438,3.39
5:12:49,11/29/2021,94.2,38.4,247,440,3.38
5:13:49,11/29/2021,94.2,38.7,242,440,3.36
5:14:52,11/29/2021,94.3,38.3,237,441,3.39
5:15:52,11/29/2021,94,37.4,230,441,3.41
5:16:55,11/29/2021,93.8,37.6,234,441,3.38
5:17:58,11/29/2021,93.4,38.8,237,439,3.27
5:18:58,11/29/2021,93,39.5,238,435,3.2
5:19:58,11/29/2021,92.8,40.4,237,432,3.13
5:20:58,11/29/2021,93.6,39.7,237,432,3.25
5:22:01,11/29/2021,93.1,39.1,236,436,3.23
5:23:01,11/29/2021,93,39.7,238,435,3.19
5:24:04,11/29/2021,92.4,40.1,238,434,3.11
5:25:07,11/29/2021,91.9,40.8,239,432,3.02
5:26:07,11/29/2021,92,40.8,241,433,3.03
5:27:10,11/29/2021,92.6,39.5,241,433,3.16
5:28:10,11/29/2021,93,38.9,242,436,3.23
5:29:13,11/29/2021,93.2,38.9,245,438,3.25
5:30:13,11/29/2021,93.1,38.9,251,438,3.24
5:31:16,11/29/2021,93.1,38.5,250,438,3.26
5:00:34,11/29/2021,0,0,0,0,0
5:01:35,11/29/2021,72.9,61.6,1,1304,1.06
5:02:37,11/29/2021,72.4,62.4,1,1220,1.02
5:03:40,11/29/2021,74.5,59.6,1,971,1.18
5:04:43,11/29/2021,75.3,58.2,1,976,1.25
5:05:43,11/29/2021,75.2,58.2,1,922,1.25
5:06:43,11/29/2021,75.5,57.9,1,876,1.27
5:07:43,11/29/2021,75.8,57.6,1,846,1.29
5:08:44,11/29/2021,76.2,57.2,1,822,1.32
5:09:46,11/29/2021,76.1,56.3,1,811,1.34
23:48:53,11/30/2021,0,0,0,0,0
23:49:56,11/30/2021,93.3,42.7,587,452,3.06
23:50:56,11/30/2021,93.2,44,578,442,2.98
23:51:56,11/30/2021,92.9,44.1,399,439,2.95
23:52:59,11/30/2021,92.8,43.2,589,437,2.98
23:53:59,11/30/2021,92.3,43.6,592,434,2.92
23:54:59,11/30/2021,92.9,43,598,433,3
23:55:59,11/30/2021,93,43.2,598,433,3
23:56:59,11/30/2021,93.6,42.8,601,433,3.08
23:58:02,11/30/2021,94.1,42.5,578,433,3.14
23:59:05,11/30/2021,94,41.8,555,434,3.17
0:00:05,12/1/2021,94,41.5,540,434,3.19
0:01:05,12/1/2021,93.8,41,530,433,3.2
0:02:05,12/1/2021,93.1,42.2,534,431,3.06
0:03:08,12/1/2021,92,44,518,433,2.87
0:04:11,12/1/2021,92.1,44.3,509,430,2.86
0:05:11,12/1/2021,93.5,43.5,496,430,3.03
0:06:11,12/1/2021,93.1,44.3,503,430,2.95
0:07:14,12/1/2021,92.9,43.9,484,430,2.96
0:08:17,12/1/2021,92.5,43.6,473,430,2.94
0:09:17,12/1/2021,92.8,43.6,475,430,2.96
0:10:17,12/1/2021,92.8,43.8,186,430,2.95
0:11:17,12/1/2021,91.9,44.7,366,429,2.82
0:12:17,12/1/2021,91.9,45.3,452,429,2.79
0:13:17,12/1/2021,92.3,44.7,438,430,2.86
0:14:17,12/1/2021,92.3,45.5,420,430,2.82
0:15:17,12/1/2021,92.3,46.4,424,429,2.77
0:16:20,12/1/2021,91.9,45.1,414,430,2.8
0:17:20,12/1/2021,92.3,44.7,412,429,2.86
0:18:20,12/1/2021,92.1,45.3,419,428,2.81
0:19:20,12/1/2021,92.3,45.7,376,429,2.81
0:20:23,12/1/2021,92.4,45.2,303,428,2.84
0:21:23,12/1/2021,90.9,45.8,159,428,2.68
0:22:23,12/1/2021,90.3,46.8,262,427,2.59
0:23:26,12/1/2021,90.4,47.2,232,428,2.57
0:24:26,12/1/2021,91.2,45.3,397,428,2.73
0:25:26,12/1/2021,92.3,43.9,398,428,2.9
0:26:29,12/1/2021,92.9,44.5,398,430,2.92
0:27:29,12/1/2021,93.6,42.6,377,432,3.09
0:28:29,12/1/2021,94.1,43.1,381,435,3.11
0:29:32,12/1/2021,93.9,41.8,294,435,3.16
0:30:32,12/1/2021,92.8,43.6,362,432,2.96
0:31:35,12/1/2021,93.5,43.6,355,430,3.03
0:32:35,12/1/2021,93.2,43.4,324,430,3.01
0:33:38,12/1/2021,93.3,44.5,314,433,2.96
0:34:41,12/1/2021,93.7,43.8,316,431,3.04
0:35:41,12/1/2021,93.6,42.6,285,432,3.09
0:36:44,12/1/2021,93,43.2,153,430,3
0:37:47,12/1/2021,92.8,44.8,286,431,2.9
0:38:47,12/1/2021,92.9,44.1,296,432,2.95
0:39:47,12/1/2021,93.5,44.4,291,437,2.98
0:40:47,12/1/2021,93.7,43.1,286,440,3.07
0:41:47,12/1/2021,94,42.3,280,438,3.15
0:42:47,12/1/2021,93.7,43.7,219,435,3.04
0:43:50,12/1/2021,93.7,43.1,218,431,3.07
