Time,Date,Water Temp (F),pH,Water Conductivity (µs/cm),Oxidation-reduction potential (ORP) or Disolved Oxygen (DO)
,,wT,pH,EC,ORP/DO
2:38:20,12/1/2021,74,7.79,278,172
2:39:20,12/1/2021,74,7.8,508,173
2:40:20,12/1/2021,74,7.8,260,175
2:41:20,12/1/2021,74,7.79,238,176
2:42:23,12/1/2021,74,7.8,256,176
2:43:23,12/1/2021,74,7.8,265,176
2:44:23,12/1/2021,74,7.8,266,177
2:45:23,12/1/2021,74,7.8,304,177
2:46:26,12/1/2021,74,7.79,467,179
2:47:29,12/1/2021,74,7.79,511,179
2:48:29,12/1/2021,74,7.79,478,179
2:49:29,12/1/2021,73.9,7.79,533,180
2:50:29,12/1/2021,73.9,7.79,440,180
2:51:29,12/1/2021,73.9,7.79,553,180
2:52:32,12/1/2021,73.9,7.78,517,180
2:53:35,12/1/2021,73.9,7.78,505,181
2:54:35,12/1/2021,73.9,7.78,499,181
2:55:38,12/1/2021,73.9,7.78,546,182
2:56:38,12/1/2021,73.9,7.78,530,182
2:57:41,12/1/2021,73.9,7.78,536,182
2:58:41,12/1/2021,73.9,7.77,433,182
2:59:44,12/1/2021,73.9,7.77,540,183
3:00:47,12/1/2021,73.9,7.77,481,183
3:01:50,12/1/2021,73.9,7.76,492,184
3:02:50,12/1/2021,73.8,7.76,509,184
3:03:50,12/1/2021,73.8,7.76,534,184
3:04:50,12/1/2021,73.8,7.75,575,184
3:05:50,12/1/2021,73.8,7.75,511,185
3:06:50,12/1/2021,73.8,7.74,549,185
3:07:50,12/1/2021,73.8,7.74,524,185
3:08:53,12/1/2021,73.8,7.74,588,185
3:09:53,12/1/2021,73.8,7.73,523,186
3:10:56,12/1/2021,73.8,7.73,508,187
3:11:56,12/1/2021,73.8,7.73,528,187
3:12:56,12/1/2021,73.8,7.73,515,188
3:13:59,12/1/2021,73.8,7.72,547,188
3:15:02,12/1/2021,73.8,7.72,545,188
